source,target,maxspeed,osmid,length,name,oneway
435240964,432597949,0,37338734,112.364,Rua Doutor Carlos Ramos,True
1788788736,501173321,0,41096616,23.579,NONE,False
1788788736,4468615942,0,41096616,32.932,NONE,False
1788788736,4734724174,0,449940695,48.64,NONE,False
435240964,4526609649,0,37338735,250.74499999999998,Rua Sá de Miranda,False
296058885,1628753289,0,13714843,155.378,Rua do Monte dos Burgos,False
296058885,1561621045,0,666672379,67.838,Estrada Interior da Circunvalação,True
435240969,4526609649,0,37338735,10.859,Rua Sá de Miranda,False
435240969,435240970,0,456394921,28.91,Rua Sá de Miranda,True
435240970,435240972,0,456394922,92.066,Rua Sá de Miranda,False
435240970,4526609649,0,456394923,39.595,Rua Sá de Miranda,True
435240972,435240970,0,456394922,92.066,Rua Sá de Miranda,False
435240972,2449318866,0,236978557,77.452,Rua Conde de Aurora,False
435240972,435240919,0,448568804,110.92599999999999,Rua Conde de Aurora,False
1218953234,429381411,0,36922144,350.99399999999997,Rua de São João de Brito,False
1218953234,1264279325,0,36922144,29.168,Rua de São João de Brito,False
1218953234,1264279405,0,105862061,55.845,Rua de São João de Brito,True
1788788757,497690573,0,40900922,23.162,Rua do Pinheiro Manso,True
1788788757,429380593,0,167487326,14.949000000000002,Avenida de Vasco da Gama,True
1202110494,126608577,0,13714843,86.895,Rua do Monte dos Burgos,False
1202110494,425743085,0,13714843,190.78199999999998,Rua do Monte dos Burgos,False
1202110494,1471188703,40,448867793,108.255,Rua Sarmento de Beires,False
1202110497,1471188703,40,172963174,49.257999999999996,Rua Sarmento de Beires,False
1202110497,1202110392,40,172963174,258.018,Rua Sarmento de Beires,False
1202110497,2408280848,0,232480478,199.415,Rua Invicta Filmes,False
2202026023,1594804752,50,14334037,29.439,Rua de São Victor,True
1788788776,4734724174,0,41096647,33.283,NONE,False
1788788776,500009848,0,41018364,175.635,Rua do Doutor Alberto de Macedo,False
1788788776,501173305,0,"[453828707, 41096615]",129.356,Rua de Joaquim Leitão,False
1788788776,501173523,0,41096615,97.40299999999999,Rua de Joaquim Leitão,False
4751802409,1731171039,0,482332563,6.003,Rua de Costa Cabral,False
4751802409,445041887,0,482332563,93.169,Rua de Costa Cabral,False
4751802409,1731171037,0,482332562,26.169999999999998,Rua Diamantina,True
299597866,299598639,0,453839344,54.763999999999996,Rua da Cruz,True
299614252,138195667,0,461937904,128.121,Rua Nova de São Crispim,True
299614252,404754608,0,34731974,40.449,Praça da Rainha Dona Amélia,True
299597869,299607856,0,27289994,39.962,Rua de Santa Justa,False
299597869,122491913,0,27289994,66.392,Rua de Santa Justa,False
299597869,299598639,0,27291749,173.81099999999998,Rua de João Roby,False
1788788782,501173520,0,167487417,28.702,NONE,False
1788788782,501173544,0,41096660,76.94800000000001,Rua de Mem de Sá,False
1788788782,497871642,0,41096660,21.095,Rua de Mem de Sá,False
1788788783,4468847656,0,449966653,16.76,NONE,False
