source,target,maxspeed,oneway,name,length
2268201048,2489417494,0,False,NONE,15.751000000000001
2268201048,2268201061,0,False,Bairro Dom António Barroso,10.431999999999999
2268201048,2489384192,0,False,Bairro Dom António Barroso,8.894
2268201056,2489428517,0,False,Bairro Dom António Barroso,9.989
2293432417,2299608908,0,False,Ilha,0.748
2268201061,2489426170,0,False,NONE,18.138
2268201061,2489428517,0,False,Bairro Dom António Barroso,9.944
2268201061,2268201048,0,False,Bairro Dom António Barroso,10.432
2268201064,475572176,0,False,Rua do Monte dos Judeus,40.338
2268201064,3391597668,0,False,Rua do Monte dos Judeus,42.976
2268201064,2489384192,0,False,Bairro Dom António Barroso,8.718
2208891042,3891282316,0,False,NONE,7.546
2208891042,2208891059,50,True,Praça da Batalha,18.96
2208891042,6647824072,0,False,NONE,20.468
2208891059,5476716945,0,True,Rua de Santa Catarina,92.081
2208891059,6640652576,0,True,Rua de 31 de Janeiro,150.679
1554874570,2325018399,0,True,Rua de Augusto Rosa,7.76
2208891083,1390263755,0,False,Rua da Madeira,238.57099999999997
2208891083,3392939433,50,True,Praça da Batalha,29.921999999999997
128680158,2247390934,0,True,Campo dos Mártires da Pátria,157.34
128680158,6537250872,0,False,Rua Professor Vicente José de Carvalho,17.906000000000002
2208891134,1554874570,0,True,Rua de Augusto Rosa,75.688
2208891134,5849847839,50,True,Praça da Batalha,29.217
4604821831,4927116730,0,False,NONE,13.004
4604821831,4488753790,0,False,NONE,47.658
4604821831,4604821832,0,False,NONE,36.687
4604821832,4604821831,0,False,NONE,36.687
501252472,280197437,0,True,Rua de Fonseca Cardoso,110.161
501252472,1209790928,0,True,Rua das Musas,69.45100000000001
501252472,501252476,0,True,Rua das Musas,36.582
501252476,501252606,0,False,Calçada do Leal,35.447
501252476,4488733049,0,True,Rua das Musas,13.803
501252500,501252596,0,False,Travessa do Leal,43.398
501252500,129552044,0,True,Rua das Musas,65.669
501252536,129552044,0,True,Rua do Bonjardim,25.912
501252536,4488733046,0,False,Travessa das Musas,159.203
1887601114,1887601133,0,False,Rua da Cooperativa do Povo Portuense,65.019
1887601114,501225766,0,False,Rua das Musas,33.504
1887601114,129552512,0,False,Rua das Musas,26.025
4608623070,137884299,50,True,Rua das Fontainhas,9.289
4608623070,2301095515,0,False,NONE,46.428
1887601133,1887601114,0,False,Rua da Cooperativa do Povo Portuense,65.019
1887601134,5284368066,0,True,Rua de Gonçalo Cristóvão,55.299
501252596,501252500,0,False,Travessa do Leal,43.398
501252596,4488733046,0,False,Travessa do Leal,15.545
501252596,501252606,0,False,Calçada do Leal,41.838
1684865532,2258183701,0,False,Escadas das Sereias,74.402
501252606,501252476,0,False,Calçada do Leal,35.447
